序号,对话
2,"二二：就是这么直播的呀，嗯？这个按键是干什么的。嘿嘿嘿，这个不错。
三三：姐姐，你又乱玩人家的手机啊。
二二：好了！好了！来三三给观众老爷们笑一个。哎哎哎，那么勉强的话就不必啦！还是带大家参观一下我们的小店吧，我们的小店坐落在这附近有名的饮食街。整条街围绕着街口那座巨大的典乐祠堂发展出来，人气旺盛，非常热闹，当然地价也高的。
三三：只要咱们用心把生意做好，很快就能赚回来的。"
3,"二二：哈哈！护肤霜呀，不过正好最近风干物燥。乖～这么贵。抢钱呢！我还是继续用黄瓜片敷脸好啦...
三三：姐姐，还在直播呢。
二二：嗯嗯嗯呃....给大家介绍一下这个周围啊，比如说这家大名鼎鼎的川菜馆，据说他们的主厨是传说中的特级，厨师做出来的菜会发光，原理不明，十分厉害，他们是整条街生意最好的餐馆，也是我们最大的竞争对手哦。不过这个特级厨师的职称是我们国家哪个机构认证的，没听说过。
三三：不知道哎..."
4,"二二：还有这家虽然是客栈，但也兼备了餐饮功能。他们做的菜卖相挺普通的，可是味道却出人意料的不错。跑堂的很热情，店里的气氛也非常融洽，让食客有回家的感觉呢，
三三：和我们很像。
二二：所以是我们的第二大竞争对手，不过什么都好，就是掌柜的太抠了。别看这店大业大的，客人来吃个饭，要碗茶喝都给按两称。真是坑死了！除了这两家，周围还有很多别的餐饮店，一个个都身怀绝技，不好惹，虽说都是公平竞争。但还是希望这位邻居同行高抬贵手，
三三：高抬贵手啊"
5,"二二：最后当然要回到我们自家，凝聚了我和三三全部心血才在这条街上获得一个立足之地的鄙店，哈哈哈！竞争虽然激烈，但我和三三更加下定决心，要把我们的小店经营好，让它成为整条街最受大家欢迎的餐馆哟！
三三：姐姐我们一起努力。"
6,三三：喂，哔哩哔哩，好像连上了，屏幕前的观众老爷们，能够看得到吗～哼哼
,"二二：这火锅城到底在哪啊
三三：姐姐车子已经没油了，手机也没有信号。接下来我们只能走路去找"
7,"二二：啊不要啊，这荒郊野外的还这么冷，万一寻找的路上再刮点风下点雪，我们不就得冻死在这里了吗。
三三：谁让姐姐不提前装个导航，一点计划都没有。"
8,"二二：在野外迷路，我们首先要确定的是当前时间和南北方向，三三，你知道应该怎么做吗。
三三：不知道。"
,"二二：怎么样，是不是很厉害？
三三：六六六六六六"
9,"三三：那么火锅城是在我们现在的哪个方向？
二二：管他的，走到哪算哪
三三：这是……
二二：这明显是犬科动物留下的痕迹，还很新。我们一定要小心避开它。
三三：姐姐，不用看足迹，它就在，那儿…
二二：啊！三三小心！退后！
三三：姐姐，那不是……
二二：快到我身后来，我会保护你的！
三三：姐姐，我看你…"
